,0,1,2,3,4,5,6
341,water,ocean,iceberg,,,,
342,water,ocean,iceberg,,,,
343,water,ocean,iceberg,,,,
344,underwater,bubbles,,,,,
345,underwater,bubbles,,,,,
346,underwater,bubbles,,,,,
347,water,ocean,,,,,
348,water,ocean,,,,,
349,water,ocean,,,,,
350,water,ocean,,,,,
351,iceberg,ocean,,,,,
352,iceberg,ocean,,,,,
353,iceberg,ocean,,,,,
354,iceberg,ocean,,,,,
355,iceberg,ocean,,,,,
356,water,ocean,ice,iceberg,,,
357,water,ocean,ice,iceberg,,,
358,water,ocean,ice,iceberg,,,
359,mountains,water,ocean,,,,
360,mountains,water,ocean,,,,
361,underwater,iceberg,,,,,
362,underwater,iceberg,,,,,
363,iceberg,ice,snow,water,ocean,,
364,iceberg,ice,snow,water,ocean,,
365,iceberg,water,ocean,,,,
366,iceberg,water,ocean,,,,
367,iceberg,water,ocean,,,,
368,iceberg,water,ocean,,,,
369,forest,trees,sunlight,,,,
370,forest,trees,sunlight,,,,
371,forest,trees,,,,,
372,forest,trees,tree,,,,
373,forest,tree,tree,grass,,,
374,forest,tree,tree,grass,,,
375,forest,trees,grass,,,,
376,forest,trees,grass,,,,
377,tree,branch,leaves,,,,
378,forest,trees,branches,leaves,,,
379,forest,trees,branches,leaves,,,
380,forest,trees,branches,leaves,,,
381,forest,trees,leaves,shrubbery,,,
382,forest,trees,leaves,shrubbery,,,
383,forest,trees,leaves,shrubbery,,,
384,forest,trees,leaves,shrubbery,,,
385,forest,trees,leaves,shrubbery,,,
386,forest,trees,leaves,shrubbery,,,
387,forest,trees,leaves,shrubbery,,,
388,forest,leaves,,,,,
389,forest,leaves,,,,,
390,forest,,,,,,
391,forest,trees,tree,branches,,,
392,forest,trees,tree,branches,,,
393,forest,tree,grass,,,,
394,forest,tree,tree,,,,
395,forest,tree,tree,,,,
396,forest,tree,tree,,,,
397,forest,shrubbery,branches,leaves,,,
398,forest,tree,tree,,,,
399,forest,leaves,grass,tree,branch,,
400,forest,leaves,grass,tree,branch,,
401,forest,leaves,grass,tree,branch,,
402,forest,leaves,grass,tree,branch,,
403,forest,trees,leaves,,,,
404,forest,trees,leaves,,,,
405,forest,tree,tree,,,,
406,forest,tree,tree,,,,
