,0,1,2
989,turning,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,,,
999,,,
1000,,,
1001,,,
1002,,,
1003,,,
1004,,,
1005,,,
1006,,,
1007,,,
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1018,,,
1019,,,
1020,,,
1021,,,
1022,,,
1023,,,
1024,,,
1025,,,
1026,,,
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,,,
1050,,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,flying,,
1063,flying,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,,,
1082,,,
1083,,,
1084,swimming,,
1085,swimming,,
1086,swimming,,
1087,swimming,,
1088,swimming,,
1089,,,
1090,,,
1091,swimming,,
1092,swimming,,
1093,swimming,,
1094,swimming,,
1095,swimming,,
1096,,,
1097,swimming,,
1098,swimming,,
1099,swimming,,
1100,swimming,,
1101,swimming,,
1102,swimming,,
1103,swimming,,
1104,swimming,,
1105,swimming,,
1106,swimming,,
1107,swimming,,
1108,swimming,,
1109,,,
1110,swimming,,
1111,swimming,,
1112,swimming,,
1113,,,
1114,,,
1115,,,
1116,,,
1117,,,
1118,,,
1119,,,
1120,,,
1121,,,
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,,,
1128,,,
1129,,,
1130,,,
1131,,,
1132,,,
1133,,,
1134,,,
1135,,,
1136,,,
1137,swimming,,
1138,swimming,,
1139,swimming,,
1140,swimming,,
1141,swimming,,
1142,,,
1143,swimming,,
1144,,,
1145,,,
1146,,,
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,,,
1155,,,
1156,,,
1157,,,
1158,,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,,,
1165,,,
1166,,,
1167,,,
1168,,,
1169,,,
1170,,,
1171,,,
1172,,,
1173,swimming,,
1174,swimming,,
1175,swimming,,
1176,swimming,,
1177,swimming,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,,,
1185,swimming,,
1186,swimming,,
1187,swimming,,
1188,swimming,,
1189,swimming,,
1190,swimming,,
1191,swimming,,
