,0,1,2,3
564,,,,
565,seal,whale,,
566,seal,whale,,
567,seal,whale,,
568,seal,whale,,
569,seal,whale,,
570,seal,whale,,
571,seal,whale,,
572,seal,whale,,
573,seal,whale,,
574,whale,,,
575,whale,,,
576,whale,,,
577,whale,,,
578,whale,,,
579,whale,,,
580,whale,,,
581,whale,,,
582,whale,,,
583,whale,,,
584,whale,,,
585,whale,seals,,
586,whale,seals,,
587,whale,seals,,
588,whale,seals,,
589,whale,seals,,
590,whale,seals,,
591,seals,,,
592,seals,,,
593,seals,,,
594,whale,,,
595,whale,,,
596,whale,,,
597,whale,,,
598,whale,,,
599,whale,,,
600,whale,,,
601,whale,,,
602,whale,,,
603,whale,,,
604,whale,,,
605,whale,,,
606,whale,,,
607,whale,,,
608,whale,,,
609,whale,,,
610,whale,,,
611,whale,,,
612,whale,,,
613,whale,,,
614,whale,seals,birds,
615,whale,seals,birds,
616,whale,seals,birds,
617,whale,seals,,
618,whale,seals,,
619,whale,seals,,
620,whale,seals,,
621,whale,,,
622,whale,,,
623,whale,,,
624,whale,,,
625,whale,,,
626,whale,seals,,
627,whale,seals,,
628,whale,seals,,
629,whale,seals,,
630,whale,,,
631,whale,,,
632,whale,,,
633,whale,,,
634,seals,,,
635,seals,,,
636,,,,
637,,,,
638,,,,
639,seals,,,
640,seals,,,
641,whale,,,
642,whale,,,
643,whale,,,
644,whale,,,
645,seals,,,
646,seals,,,
647,seals,,,
648,seals,,,
649,seals,,,
650,whale,,,
651,seals,,,
652,seals,,,
653,whale,,,
654,whale,,,
655,whale,,,
656,whale,,,
657,whale,,,
658,seals,,,
659,seals,,,
660,whale,,,
661,whale,,,
662,whale,,,
663,whale,seals,,
664,whale,seals,,
665,whale,,,
666,whale,seals,,
667,whale,seals,,
668,seal,head,,
669,whale,,,
670,whale,,,
671,whale,,,
672,whale,,,
673,whale,,,
674,whale,,,
675,whale,,,
676,whale,seals,,
677,whale,seals,,
678,whale,seals,,
679,whale,,,
680,whale,,,
681,whale,,,
682,whale,,,
683,whale,,,
684,whale,,,
685,whale,,,
686,whale,,,
687,whale,,,
688,whale,,,
689,whale,,,
690,whale,,,
691,whale,,,
692,whale,,,
693,whale,,,
694,whale,,,
695,whale,,,
696,whale,,,
697,whale,,,
698,whale,,,
